date,open,high,low,close,volume
2016-01-01,339.95,344.0,337.65,340.5,1250268
2016-01-04,338.0,338.95,321.0,326.8,3152751
2016-01-05,327.0,328.75,321.0,323.45,2118958
2016-01-06,325.9,332.5,319.65,322.2,2414140
2016-01-07,320.9,325.8,316.6,322.35,2825774
2016-01-08,324.3,324.95,318.5,323.85,1801868
2016-01-11,321.0,324.0,314.7,321.15,2519730
2016-01-12,322.0,325.45,313.6,315.4,2940261
2016-01-13,321.0,322.55,302.05,308.6,4546017
2016-01-14,306.9,312.0,300.5,308.75,3274522
2016-01-15,311.7,311.7,303.1,306.1,3219918
2016-01-18,307.8,308.7,293.85,300.25,4122977
2016-01-19,301.8,312.4,298.4,310.3,3341662
2016-01-20,308.5,313.85,302.8,309.6,5073820
2016-01-21,313.0,313.4,303.65,309.3,3084225
2016-01-22,311.1,311.2,291.55,298.7,5321085
2016-01-25,299.85,300.95,292.55,297.5,3136094
2016-01-27,297.5,299.5,291.8,297.8,5087567
2016-01-28,294.3,295.85,288.35,291.4,6381357
2016-01-29,289.4,297.3,282.3,289.9,6645497
2016-02-01,292.2,298.0,291.2,296.6,3988413
2016-02-02,296.6,304.0,295.7,302.2,4333890
2016-02-03,300.7,301.8,296.15,299.8,4716217
2016-02-04,303.8,305.8,301.6,304.25,3074313
2016-02-05,302.1,308.5,302.05,307.2,2385945
2016-02-08,308.35,313.5,305.6,311.0,2481260
2016-02-09,309.0,313.95,307.0,312.25,2835306
2016-02-10,311.0,314.95,308.5,311.3,9174821
2016-02-11,305.0,315.5,304.45,308.7,5876839
2016-02-12,312.5,330.0,307.5,324.55,3649561
2016-02-15,328.55,329.9,316.45,318.9,5061087
2016-02-16,322.35,324.9,313.75,315.3,2623523
2016-02-17,313.5,321.6,308.6,319.55,3582126
2016-02-18,323.0,323.1,316.05,321.2,2315365
2016-02-19,320.5,327.95,316.75,326.05,5373117
2016-02-22,324.5,334.9,322.0,329.1,3113993
2016-02-23,333.0,333.0,318.1,321.3,4900675
2016-02-24,318.15,325.55,317.65,323.95,2274192
2016-02-25,324.95,325.45,318.0,322.55,8613286
2016-02-26,324.85,324.85,317.0,317.95,6367019
2016-02-29,317.0,322.35,313.05,315.5,3594778
2016-03-01,315.55,322.3,310.25,320.7,4353551
2016-03-02,322.0,327.75,321.0,326.35,2964861
2016-03-03,328.4,334.95,324.0,333.4,2942607
2016-03-04,332.0,336.65,327.1,329.25,1953836
2016-03-08,329.5,334.0,326.75,331.5,2157320
2016-03-09,329.05,335.85,328.3,334.6,3091469
2016-03-10,332.05,338.7,331.0,336.3,1656083
2016-03-11,335.0,338.8,334.0,337.25,2720156
2016-03-14,335.15,342.0,331.8,340.75,2373050
2016-03-15,340.0,344.5,336.0,342.9,2081414
2016-03-16,341.25,344.8,335.4,338.5,3931205
2016-03-17,341.3,351.7,338.05,340.75,6449118
2016-03-18,345.8,348.25,340.05,344.3,3561683
2016-03-21,345.0,355.0,343.2,353.65,2535611
2016-03-22,354.9,356.7,344.65,350.9,3988349
2016-03-23,352.0,361.4,352.0,358.2,4611410
2016-03-28,358.9,361.0,346.85,349.8,4173356
2016-03-29,347.0,357.75,346.05,354.5,3671058
2016-03-30,355.0,359.25,351.1,353.8,3811564
2016-03-31,353.5,356.65,346.55,350.8,7144216
2016-04-01,350.2,350.2,332.2,335.45,4071134
2016-04-04,335.55,350.9,335.55,348.5,3095605
2016-04-05,346.5,346.5,329.05,330.5,4767509
2016-04-06,333.45,339.55,331.55,334.5,2737206
2016-04-07,336.1,336.3,329.25,331.25,2177209
2016-04-08,331.95,337.4,325.6,334.6,2090508
2016-04-11,341.45,350.0,341.0,348.25,4077524
2016-04-12,348.2,352.5,344.15,350.1,2784511
2016-04-13,351.05,364.5,349.6,351.25,5961256
2016-04-18,355.05,363.0,352.2,359.4,2549108
2016-04-20,364.0,364.35,354.1,356.65,2929869
2016-04-21,357.85,359.0,351.0,357.25,1999186
2016-04-22,351.0,357.95,349.75,353.1,1315980
2016-04-25,354.3,364.0,354.3,358.95,3092288
2016-04-26,357.45,363.8,355.4,360.4,2348466
2016-04-27,365.0,381.4,362.15,373.05,7767551
2016-04-28,383.45,385.0,370.5,372.7,9027610
2016-04-29,371.85,372.6,360.5,363.6,4876927
2016-05-02,363.0,364.5,356.4,357.8,1572749
2016-05-03,358.0,370.5,358.0,368.35,3919783
2016-05-04,365.95,369.25,359.3,361.45,1697313
2016-05-05,362.5,366.0,351.65,354.4,2140529
2016-05-06,357.0,364.45,354.4,359.1,2880488
2016-05-09,360.25,367.9,358.2,366.8,1866271
2016-05-10,367.5,369.3,360.35,368.85,2642844
2016-05-11,364.5,377.45,357.0,358.9,4791361
2016-05-12,363.0,363.55,355.7,362.1,2905943
2016-05-13,362.0,362.0,353.0,354.9,3610466
2016-05-16,355.0,356.15,342.85,353.45,2700321
2016-05-17,356.0,359.0,348.6,351.2,2478092
2016-05-18,350.0,352.6,347.25,351.25,2182531
2016-05-19,351.25,352.8,343.4,344.8,2470460
2016-05-20,345.9,346.5,339.3,341.95,3784752
2016-05-23,346.7,348.75,341.5,345.85,1660748
2016-05-24,345.9,346.95,341.8,345.15,2067119
2016-05-25,347.1,352.5,347.0,351.65,1944422
2016-05-26,352.0,356.0,347.75,352.85,4752719
2016-05-27,352.95,357.6,349.55,351.25,2772151
2016-05-30,353.1,357.2,352.25,355.9,2564704
2016-05-31,356.9,357.0,347.15,351.4,21884214
2016-06-01,353.55,364.35,352.3,363.25,2777337
2016-06-02,361.35,368.0,359.8,366.2,2347471
2016-06-03,365.0,365.7,355.35,358.15,3314283
2016-06-06,357.0,359.05,347.2,348.75,4744743
