date,open,high,low,close,volume
2016-01-01,261.3,263.6,258.0,263.0,5452815
2016-01-04,261.0,261.35,254.65,255.55,8577993
2016-01-05,256.25,257.5,251.7,256.7,8151798
2016-01-06,255.4,256.75,249.2,250.1,15832892
2016-01-07,246.4,247.7,243.1,246.75,16582466
2016-01-08,244.5,247.8,243.45,245.05,13094901
2016-01-11,241.9,243.9,238.05,239.45,12916971
2016-01-12,241.0,241.85,235.6,236.75,10814454
2016-01-13,237.8,242.9,231.1,239.5,16559737
2016-01-14,234.2,239.8,231.8,235.75,13273438
2016-01-15,235.6,236.3,221.75,224.45,20303548
2016-01-18,224.2,228.7,217.8,223.1,27490009
2016-01-19,224.65,231.25,224.65,228.75,14747672
2016-01-20,224.9,227.9,220.1,224.4,13048617
2016-01-21,228.5,233.5,224.2,226.3,14241694
2016-01-22,232.6,234.9,229.8,232.75,13771384
2016-01-25,235.95,238.5,234.2,236.05,15579335
2016-01-27,238.0,239.3,234.7,237.3,11050510
2016-01-28,238.55,239.55,231.25,233.2,22052879
2016-01-29,219.0,234.3,219.0,230.15,43414086
2016-02-01,227.0,227.35,215.9,217.2,36723378
2016-02-02,218.0,219.7,209.7,210.4,28928563
2016-02-03,207.0,208.8,202.55,204.05,21447535
2016-02-04,206.4,206.4,200.5,203.95,28062871
2016-02-05,205.5,211.0,203.6,209.4,32899434
2016-02-08,211.0,215.5,206.15,208.55,17605529
2016-02-09,204.0,211.5,200.75,209.4,19006075
2016-02-10,203.1,209.5,202.0,207.25,20674662
2016-02-11,203.75,206.95,198.0,199.25,28924651
2016-02-12,196.6,198.4,190.5,193.55,37977751
2016-02-15,193.9,207.3,193.9,203.5,31027590
2016-02-16,207.0,207.0,195.5,196.6,18996320
2016-02-17,196.5,197.15,188.85,190.75,26174650
2016-02-18,193.5,199.0,193.2,196.15,29327525
2016-02-19,195.8,201.45,195.25,198.8,16015891
2016-02-22,197.5,201.3,196.45,198.45,15970717
2016-02-23,199.4,199.4,190.25,192.0,18183622
2016-02-24,189.0,191.2,185.85,187.0,18777238
2016-02-25,187.7,189.0,181.55,183.0,34855181
2016-02-26,184.3,185.95,180.75,184.8,22443448
2016-02-29,184.8,195.9,181.7,190.05,39554942
2016-03-01,195.25,206.45,195.25,204.95,24748811
2016-03-02,211.7,221.4,211.1,220.0,37060501
2016-03-03,218.6,220.3,214.2,218.0,20821564
2016-03-04,221.75,224.4,219.05,220.5,22267020
2016-03-08,219.95,219.95,214.3,216.85,17166366
2016-03-09,212.8,217.9,210.05,216.35,15727864
2016-03-10,218.0,218.85,214.6,215.5,12319323
2016-03-11,213.35,218.55,212.6,213.85,13526929
2016-03-14,219.0,222.8,218.65,221.65,15206142
2016-03-15,222.8,224.85,220.5,221.35,12250507
2016-03-16,219.9,227.4,218.55,226.4,15586211
2016-03-17,230.0,236.25,224.95,227.75,29446497
2016-03-18,228.2,231.45,226.15,230.2,16700892
2016-03-21,231.55,235.6,231.45,234.85,13471290
2016-03-22,234.6,234.6,230.6,233.6,11153865
2016-03-23,231.45,235.0,230.8,234.2,15443209
2016-03-28,234.0,234.0,223.9,225.45,18376559
2016-03-29,223.3,226.95,222.4,223.4,18588893
2016-03-30,228.5,239.0,226.8,237.5,20923953
2016-03-31,238.2,241.35,233.7,236.65,27831004
2016-04-01,236.0,239.45,232.7,238.3,14252139
