date,open,high,low,close,volume
2016-01-01,860.0,862.0,853.5,856.55,230366
2016-01-04,856.55,868.7,851.15,859.0,828876
2016-01-05,857.3,859.05,845.5,847.95,1118709
2016-01-06,850.0,850.0,840.95,843.05,2135092
2016-01-07,840.0,840.95,817.5,820.25,1353969
2016-01-08,819.0,831.5,807.7,809.85,1324046
2016-01-11,806.0,819.7,801.35,811.75,1514504
2016-01-12,808.5,822.15,804.55,819.7,1110037
2016-01-13,821.8,836.2,813.75,832.75,1338356
2016-01-14,829.5,837.9,818.55,827.25,1531002
2016-01-15,827.25,828.95,776.65,804.25,3249884
2016-01-18,796.3,816.65,795.0,809.95,1525578
2016-01-19,813.0,821.75,807.65,810.45,867289
2016-01-20,805.0,815.0,785.0,795.05,1543575
2016-01-21,797.2,799.0,774.2,775.6,1679165
2016-01-22,780.5,783.5,770.0,771.5,1465143
2016-01-25,772.0,784.75,769.7,783.3,1036869
2016-01-27,781.0,783.85,766.4,767.9,1291178
2016-01-28,769.8,797.0,766.5,791.75,1967418
2016-01-29,791.1,820.0,791.1,816.9,1733695
2016-02-01,816.0,817.4,799.0,800.95,1025869
2016-02-02,809.5,809.95,796.95,800.1,960236
2016-02-03,795.5,828.5,795.5,821.6,1843081
2016-02-04,824.5,838.4,816.55,834.8,1698770
2016-02-05,830.0,855.5,830.0,844.95,2043434
2016-02-08,844.0,848.2,826.45,828.9,490426
2016-02-09,826.35,842.15,824.7,826.35,964658
2016-02-10,826.0,832.1,820.1,824.55,781041
2016-02-11,823.9,828.0,791.2,802.6,1010277
2016-02-12,800.5,816.7,795.0,812.6,1318480
2016-02-15,817.0,821.95,798.0,804.7,1206980
2016-02-16,810.0,811.85,799.45,803.2,926079
2016-02-17,800.5,814.0,789.75,812.55,783633
2016-02-18,814.05,830.5,812.5,827.4,1179011
2016-02-19,831.85,831.85,813.45,827.6,620200
2016-02-22,827.0,866.0,826.35,861.65,1883688
2016-02-23,858.45,858.45,834.2,836.85,590731
2016-02-24,836.9,844.9,828.2,836.75,1062120
2016-02-25,837.7,846.2,832.4,842.8,859877
2016-02-26,848.0,852.65,841.1,849.9,1191495
2016-02-29,851.0,851.7,823.5,830.4,1974971
2016-03-01,829.85,829.85,818.1,824.15,1777318
2016-03-02,830.0,855.0,830.0,849.25,1221727
2016-03-03,855.5,856.1,845.75,848.9,746384
2016-03-04,848.5,855.9,841.45,848.75,1331537
2016-03-08,848.0,848.0,824.0,826.25,1342346
2016-03-09,826.55,843.9,826.55,839.65,1929618
2016-03-10,837.0,841.0,829.0,837.55,1140147
2016-03-11,842.0,857.95,831.5,851.6,1527676
2016-03-14,855.05,860.0,845.0,857.15,825367
2016-03-15,852.1,856.8,835.55,840.8,1330602
2016-03-16,844.9,845.85,831.0,844.15,1511400
2016-03-17,848.1,855.0,843.0,849.65,1970969
2016-03-18,850.0,852.0,838.0,848.35,1848223
2016-03-21,847.1,883.0,847.1,879.65,1587554
2016-03-22,876.05,880.65,862.4,870.15,2024654
2016-03-23,870.0,877.35,860.55,873.6,1373555
2016-03-28,876.0,876.1,860.2,863.65,2033190
2016-03-29,860.3,871.35,858.6,861.15,1389839
2016-03-30,862.0,878.95,858.9,861.65,1453623
